Code,Category,Sub_Category,Question,Answer,Difficulty,SubCatName,Flag
29229,Geography,Cities & Landmarks,In which European palace are the State Apartments called the Hall of Mirrors?,Versailles,Moderate Knowledge,Geography|Cities & Landmarks,
29230,Geography,Cities & Landmarks,What palace was built by the Sun King Louis XIV?,Versailles,Moderate Knowledge,Geography|Cities & Landmarks,
29275,Geography,Cities & Landmarks,In what Australian state would you find Bendigo?,Victoria,Specialized Knowledge,Geography|Cities & Landmarks,
29276,Geography,Cities & Landmarks,In what Australian state would you find Horsham?,Victoria,Specialized Knowledge,Geography|Cities & Landmarks,
29277,Geography,Cities & Landmarks,In what Australian state would you find Mildura?,Victoria,Specialized Knowledge,Geography|Cities & Landmarks,
29278,Geography,Cities & Landmarks,In what Australian state would you find Wodonga?,Victoria,Specialized Knowledge,Geography|Cities & Landmarks,
29279,Geography,Cities & Landmarks,What was the capital of Hong Kong under British rule?,Victoria,Specialized Knowledge,Geography|Cities & Landmarks,
29280,Geography,Cities & Landmarks,What is the most common name used in London streets,Victoria,Specialized Knowledge,Geography|Cities & Landmarks,
29289,Geography,Cities & Landmarks,What is the biggest tourist attraction in Zambia?,Victoria Falls,Moderate Knowledge,Geography|Cities & Landmarks,
29301,Geography,Cities & Landmarks,In what city would you find the Spanish Riding School?,Vienna,Specialized Knowledge,Geography|Cities & Landmarks,
29307,Geography,Cities & Landmarks,Haiphong is the third largest city in which Southeast Asian country?,Vietnam,Moderate Knowledge,Geography|Cities & Landmarks,
29342,Geography,Cities & Landmarks,In what Italian town was Leonardo Da Vinci born?,Vinci,Moderate Knowledge,Geography|Cities & Landmarks,
29383,Geography,Cities & Landmarks,In which US state is Appomattox located?,Virginia,Moderate Knowledge,Geography|Cities & Landmarks,
29384,Geography,Cities & Landmarks,Where is Appomattox located?,Virginia,Specialized Knowledge,Geography|Cities & Landmarks,
29385,Geography,Cities & Landmarks,In which US state is John F Kennedy buried?,Virginia,Moderate Knowledge,Geography|Cities & Landmarks,
29444,Geography,Cities & Landmarks,What Russian city's name translates to 'ruler of the east'?,Vladivostok,Specialized Knowledge,Geography|Cities & Landmarks,
29445,Geography,Cities & Landmarks,Which city lies at the eastern terminus of the Trans-Siberian railway,Vladivostok,Moderate Knowledge,Geography|Cities & Landmarks,
29539,Geography,Cities & Landmarks,Lombard Street is London's equivalent of New York's what?,Wall Street,Moderate Knowledge,Geography|Cities & Landmarks,
29540,Geography,Cities & Landmarks,What area in New York is named after a barrier built to keep out Indians?,Wall Street,Moderate Knowledge,Geography|Cities & Landmarks,
29571,Geography,Cities & Landmarks,In which London district will you find the William Morris Gallery?,Walthamstow,Specialized Knowledge,Geography|Cities & Landmarks,
29618,Geography,Cities & Landmarks,In which US state is Walla Walla located?,Washington,Moderate Knowledge,Geography|Cities & Landmarks,
29623,Geography,Cities & Landmarks,In which US city is the Smithsonian Institution located?,Washington D.C.,Common Knowledge,Geography|Cities & Landmarks,
29625,Geography,Cities & Landmarks,What US city is home to the Pentagon?,Washington DC,Common Knowledge,Geography|Cities & Landmarks,
29626,Geography,Cities & Landmarks,Where is Capitol Hill located?,Washington DC,Common Knowledge,Geography|Cities & Landmarks,
29628,Geography,Cities & Landmarks,Where is the world's largest library located?,Washington DC,Moderate Knowledge,Geography|Cities & Landmarks,
29629,Geography,Cities & Landmarks,Which capital city stands on the Potomac River?,Washington DC,Common Knowledge,Geography|Cities & Landmarks,
29683,Geography,Cities & Landmarks,Which Irish city is famous for its crystal?,Waterford,Moderate Knowledge,Geography|Cities & Landmarks,
29775,Geography,Cities & Landmarks,In what Australian state would you find Bunbury?,Western Australia,Specialized Knowledge,Geography|Cities & Landmarks,
29782,Geography,Cities & Landmarks,What is the deepest mine in the world?,Western Deep Levels Mine,Specialized Knowledge,Geography|Cities & Landmarks,
29788,Geography,Cities & Landmarks,Where in London would you find Poets' Corner?,Westminster Abbey,Moderate Knowledge,Geography|Cities & Landmarks,
29789,Geography,Cities & Landmarks,Where is Poets' Corner located?,Westminster Abbey,Moderate Knowledge,Geography|Cities & Landmarks,
29790,Geography,Cities & Landmarks,Where in the UK is Charles Dickens buried,Westminster Abbey,Specialized Knowledge,Geography|Cities & Landmarks,
29791,Geography,Cities & Landmarks,Which London church's other name is the Collegiate Church of St. Peter?,Westminster Abbey,Moderate Knowledge,Geography|Cities & Landmarks,
29793,Geography,Cities & Landmarks,Where is David Livingstone buried?,Westminster Abbey & Tanzania,Specialized Knowledge,Geography|Cities & Landmarks,
29794,Geography,Cities & Landmarks,What is the second bridge built across the Thames,Westminster Bridge,Specialized Knowledge,Geography|Cities & Landmarks,
29870,Geography,Cities & Landmarks,What color is the number 10 on 10 Downing Street,White,Specialized Knowledge,Geography|Cities & Landmarks,
29892,Geography,Cities & Landmarks,In Yugoslavia Belgrade is called Beograd which means what,White City,Specialized Knowledge,Geography|Cities & Landmarks,
29895,Geography,Cities & Landmarks,What house was the biggest in the USA until the Civil War?,White House,Moderate Knowledge,Geography|Cities & Landmarks,
30039,Geography,Cities & Landmarks,In which cathedral is Jane Austen buried?,Winchester,Specialized Knowledge,Geography|Cities & Landmarks,
30040,Geography,Cities & Landmarks,What English city was known to the Romans as Venta Bulgarum,Winchester,Specialized Knowledge,Geography|Cities & Landmarks,
30067,Geography,Cities & Landmarks,What is the largest inhabited castle in the world,Windsor Castle,Moderate Knowledge,Geography|Cities & Landmarks,
30068,Geography,Cities & Landmarks,What is the largest inhabited castle in the world?,Windsor Castle,Moderate Knowledge,Geography|Cities & Landmarks,
30094,Geography,Cities & Landmarks,Through what Canadian city does the Red River run,Winnipeg,Specialized Knowledge,Geography|Cities & Landmarks,
30287,Geography,Cities & Landmarks,In which US state is Devils Tower located?,Wyoming,Moderate Knowledge,Geography|Cities & Landmarks,
30304,Geography,Cities & Landmarks,In which Chinese city is the Terracotta Army located?,Xi'an,Moderate Knowledge,Geography|Cities & Landmarks,
30331,Geography,Cities & Landmarks,On the banks of which river is the Taj Mahal located?,Yamuna River,Moderate Knowledge,Geography|Cities & Landmarks,
30381,Geography,Cities & Landmarks,In which US National Park is the Old Faithful Geyser,Yellowstone National Park,Moderate Knowledge,Geography|Cities & Landmarks,
30410,Geography,Cities & Landmarks,What is the port city serving Tokyo?,Yokohama,Moderate Knowledge,Geography|Cities & Landmarks,
30416,Geography,Cities & Landmarks,What English city did the Romans call Eboracum,York,Specialized Knowledge,Geography|Cities & Landmarks,
30448,Geography,Cities & Landmarks,In Fargo North Dakota you can be jailed for dancing with what?,Your Hat On,Specialized Knowledge,Geography|Cities & Landmarks,
30494,Geography,Cities & Landmarks,What island is known as the Spice Island?,Zanzibar,Specialized Knowledge,Geography|Cities & Landmarks,
30598,Geography,Cities & Landmarks,What is the largest city in Switzerland?,Zurich,Moderate Knowledge,Geography|Cities & Landmarks,
30617,Geography,Cities & Landmarks,Which European city is famously said to have more miles of canals than Venice?,Birmingham,Specialized Knowledge,Geography|Cities & Landmarks,
98,Geography,Countries & Capitals,How many sovereign countries are there in South America?,12,Moderate Knowledge,Geography|Countries & Capitals,
99,Geography,Countries & Capitals,How many stars are on the European Union flag?,12,Moderate Knowledge,Geography|Countries & Capitals,
678,Geography,Countries & Capitals,How many stars are there on Brazil's flag?,23,Specialized Knowledge,Geography|Countries & Capitals,
679,Geography,Countries & Capitals,How many US states border an ocean?,23,Specialized Knowledge,Geography|Countries & Capitals,
893,Geography,Countries & Capitals,On November 16 1907 Oklahoma became what number US state?,46th,Specialized Knowledge,Geography|Countries & Capitals,
923,Geography,Countries & Capitals,How many states make up the United States,50,Common Knowledge,Geography|Countries & Capitals,
924,Geography,Countries & Capitals,The United States is made up of how many states?,50,Common Knowledge,Geography|Countries & Capitals,
1018,Geography,Countries & Capitals,What percentage of Finland is covered by forest?,72%,Specialized Knowledge,Geography|Countries & Capitals,
1086,Geography,Countries & Capitals,How many Christmas trees does Nova Scotia produce annually?,900000,Specialized Knowledge,Geography|Countries & Capitals,
1108,Geography,Countries & Capitals,What was the Canadian literacy rate in 1987,99%,Specialized Knowledge,Geography|Countries & Capitals,
1174,Geography,Countries & Capitals,A fisherman in the Aral Sea had his boat destroyed by what unusual falling object?,A Cow,Specialized Knowledge,Geography|Countries & Capitals,
1479,Geography,Countries & Capitals,What is the capital of the United Arab Emirates?,Abu Dhabi,Moderate Knowledge,Geography|Countries & Capitals,
1480,Geography,Countries & Capitals,The capital of Nigeria was Lagos what is it now?,Abuja,Moderate Knowledge,Geography|Countries & Capitals,
1481,Geography,Countries & Capitals,What was Ethiopia formerly known as?,Abyssinia,Moderate Knowledge,Geography|Countries & Capitals,
1501,Geography,Countries & Capitals,What is the capital of Ghana?,Accra,Moderate Knowledge,Geography|Countries & Capitals,
1533,Geography,Countries & Capitals,In which Australian state would you find Canberra?,ACT,Moderate Knowledge,Geography|Countries & Capitals,
1659,Geography,Countries & Capitals,In which Asian country is the Hindu Kush?,Afghanistan,Moderate Knowledge,Geography|Countries & Capitals,
1660,Geography,Countries & Capitals,Name the country that starts with A but does not end with A,Afghanistan,Moderate Knowledge,Geography|Countries & Capitals,
1661,Geography,Countries & Capitals,What is the only country besides Azerbaijan that starts with A but doesn't end with A?,Afghanistan,Moderate Knowledge,Geography|Countries & Capitals,
1662,Geography,Countries & Capitals,Which country comes first in an alphabetical list of countries,Afghanistan,Common Knowledge,Geography|Countries & Capitals,
1665,Geography,Countries & Capitals,Mauritania is located in which continent,Africa,Moderate Knowledge,Geography|Countries & Capitals,
1666,Geography,Countries & Capitals,What continent is Sierra Leone in?,Africa,Common Knowledge,Geography|Countries & Capitals,
1667,Geography,Countries & Capitals,Which is Earth's second largest continent?,Africa,Common Knowledge,Geography|Countries & Capitals,
1821,Geography,Countries & Capitals,In which US state do the most bald eagles live?,Alaska,Moderate Knowledge,Geography|Countries & Capitals,
1822,Geography,Countries & Capitals,On January 3rd 1959 which territory became the US's 49th state?,Alaska,Common Knowledge,Geography|Countries & Capitals,
1823,Geography,Countries & Capitals,What became the 49th US state to enter the union in 1959?,Alaska,Common Knowledge,Geography|Countries & Capitals,
1824,Geography,Countries & Capitals,What is the largest state in the USA by area,Alaska,Common Knowledge,Geography|Countries & Capitals,
1825,Geography,Countries & Capitals,What is the largest US state by area,Alaska,Common Knowledge,Geography|Countries & Capitals,
1826,Geography,Countries & Capitals,What US state has the smallest population,Alaska,Moderate Knowledge,Geography|Countries & Capitals,
1827,Geography,Countries & Capitals,What was Russian America called after 1867?,Alaska,Common Knowledge,Geography|Countries & Capitals,
1828,Geography,Countries & Capitals,Where does the Iditarod dog sled race take place?,Alaska,Moderate Knowledge,Geography|Countries & Capitals,
1829,Geography,Countries & Capitals,Which is the largest state in the USA?,Alaska,Common Knowledge,Geography|Countries & Capitals,
1830,Geography,Countries & Capitals,Which US state borders a Canadian territory?,Alaska,Moderate Knowledge,Geography|Countries & Capitals,
1831,Geography,Countries & Capitals,Which US state has no official motto?,Alaska,Specialized Knowledge,Geography|Countries & Capitals,
1832,Geography,Countries & Capitals,Which US state has the fewest gas stations?,Alaska,Specialized Knowledge,Geography|Countries & Capitals,
1833,Geography,Countries & Capitals,Which US state has the smallest population,Alaska,Moderate Knowledge,Geography|Countries & Capitals,
1834,Geography,Countries & Capitals,Which US state is sometimes known as Seward's Folly?,Alaska,Moderate Knowledge,Geography|Countries & Capitals,
1849,Geography,Countries & Capitals,Which 5 US states border the Pacific Ocean?,Alaska California Hawaii Oregon Washington,Moderate Knowledge,Geography|Countries & Capitals,
1851,Geography,Countries & Capitals,In what country was Mother Teresa born?,Albania,Moderate Knowledge,Geography|Countries & Capitals,
1852,Geography,Countries & Capitals,The locals call it Shqiperia - what do we call this country?,Albania,Moderate Knowledge,Geography|Countries & Capitals,
1853,Geography,Countries & Capitals,Which country is located directly south of Serbia,Albania,Moderate Knowledge,Geography|Countries & Capitals,
1854,Geography,Countries & Capitals,Which country's translated name means Land of the Eagle?,Albania,Moderate Knowledge,Geography|Countries & Capitals,
1859,Geography,Countries & Capitals,What three European countries begin with the letter 'A' in alphabetical order?,"Albania, Andorra, Austria",Moderate Knowledge,Geography|Countries & Capitals,
1860,Geography,Countries & Capitals,What is the capital of New York State?,Albany,Moderate Knowledge,Geography|Countries & Capitals,
1881,Geography,Countries & Capitals,What Canadian province has been virtually rat-free since 1905?,Alberta,Specialized Knowledge,Geography|Countries & Capitals,
1973,Geography,Countries & Capitals,What country's international car registration letters are DZ,Algeria,Specialized Knowledge,Geography|Countries & Capitals,
1974,Geography,Countries & Capitals,In what country are the ports Oran and Bone,Algeria,Specialized Knowledge,Geography|Countries & Capitals,
1975,Geography,Countries & Capitals,The former ancient region of Numidia lies mostly in which modern day country?,Algeria,Specialized Knowledge,Geography|Countries & Capitals,
1976,Geography,Countries & Capitals,The Romans called it Numidia what do we call it today?,Algeria,Specialized Knowledge,Geography|Countries & Capitals,
1977,Geography,Countries & Capitals,What is the second largest country in Africa?,Algeria,Moderate Knowledge,Geography|Countries & Capitals,
1978,Geography,Countries & Capitals,What North African country contains the largest area of the Sahara Desert,Algeria,Moderate Knowledge,Geography|Countries & Capitals,
1979,Geography,Countries & Capitals,Which country's international registration mark bears the letters DZ,Algeria,Moderate Knowledge,Geography|Countries & Capitals,
2095,Geography,Countries & Capitals,From where do Alsatians (German Shepherds) originate?,Alsace-Lorraine,Specialized Knowledge,Geography|Countries & Capitals,
2170,Geography,Countries & Capitals,14% of Americans could not identify which country on a map,America,Moderate Knowledge,Geography|Countries & Capitals,
2249,Geography,Countries & Capitals,In which European city will you find the headquarters of Greenpeace?,Amsterdam,Moderate Knowledge,Geography|Countries & Capitals,
2328,Geography,Countries & Capitals,Which European country has no national monetary unit of its own?,Andorra,Specialized Knowledge,Geography|Countries & Capitals,
2382,Geography,Countries & Capitals,In which country could you spend a Kwanza?,Angola,Specialized Knowledge,Geography|Countries & Capitals,
2383,Geography,Countries & Capitals,Portuguese West Africa is now known as what,Angola,Moderate Knowledge,Geography|Countries & Capitals,
2384,Geography,Countries & Capitals,Which African country's flag contains a machete a cog and a star?,Angola,Specialized Knowledge,Geography|Countries & Capitals,
2462,Geography,Countries & Capitals,International dialling codes where is 672,Antarctica,Specialized Knowledge,Geography|Countries & Capitals,
2538,Geography,Countries & Capitals,What is Belgium's main port city?,Antwerp,Moderate Knowledge,Geography|Countries & Capitals,
2734,Geography,Countries & Capitals,In international car registrations which country uses the letters RA?,Argentina,Moderate Knowledge,Geography|Countries & Capitals,
2735,Geography,Countries & Capitals,International car registration letters - what country is RA?,Argentina,Specialized Knowledge,Geography|Countries & Capitals,
2736,Geography,Countries & Capitals,Which country is indicated by the car identification letters RA,Argentina,Specialized Knowledge,Geography|Countries & Capitals,
2737,Geography,Countries & Capitals,The capital of which country's name means good air?,Argentina,Specialized Knowledge,Geography|Countries & Capitals,
2738,Geography,Countries & Capitals,"The name of which country's capital means ""Good Air""?",Argentina,Moderate Knowledge,Geography|Countries & Capitals,
2739,Geography,Countries & Capitals,What is the second biggest country in South America after Brazil?,Argentina,Moderate Knowledge,Geography|Countries & Capitals,
2740,Geography,Countries & Capitals,What South American country takes its name from the Latin for silvery,Argentina,Moderate Knowledge,Geography|Countries & Capitals,
2749,Geography,Countries & Capitals,What countries are known as the ABC powers?,Argentina Brazil Chile,Specialized Knowledge,Geography|Countries & Capitals,
2774,Geography,Countries & Capitals,Which US state has official state neckwear of the bolo tie?,Arizona,Specialized Knowledge,Geography|Countries & Capitals,
2786,Geography,Countries & Capitals,Regnat Populus (The people rule) is the motto of what US state?,Arkansas,Specialized Knowledge,Geography|Countries & Capitals,
2804,Geography,Countries & Capitals,In which former Soviet republic do 100 luma make a dram?,Armenia,Specialized Knowledge,Geography|Countries & Capitals,
2805,Geography,Countries & Capitals,What Soviet republic was devastated by an earthquake in 1988?,Armenia,Moderate Knowledge,Geography|Countries & Capitals,
2915,Geography,Countries & Capitals,Which is the most populated continent in the world?,Asia,Common Knowledge,Geography|Countries & Capitals,
3011,Geography,Countries & Capitals,What is the capital of Georgia?,Atlanta,Common Knowledge,Geography|Countries & Capitals,
3120,Geography,Countries & Capitals,What is the capital of Texas?,Austin,Common Knowledge,Geography|Countries & Capitals,
3128,Geography,Countries & Capitals,Which country covers an entire continent of the same name?,Australia,Common Knowledge,Geography|Countries & Capitals,
3129,Geography,Countries & Capitals,"Which country was historically known as ""New Holland""?",Australia,Moderate Knowledge,Geography|Countries & Capitals,
3130,Geography,Countries & Capitals,Terra Psittacorum (Land of Parrots) was an early cartographic name for which country?,Australia,Specialized Knowledge,Geography|Countries & Capitals,
3131,Geography,Countries & Capitals,In which country would you find Uluru (formerly Ayers Rock)?,Australia,Common Knowledge,Geography|Countries & Capitals,
3132,Geography,Countries & Capitals,Which country administers the territory of Christmas Island?,Australia,Specialized Knowledge,Geography|Countries & Capitals,
3133,Geography,Countries & Capitals,In which country are the landmarks Cape Otway and the Grampian Mountains found?,Australia,Moderate Knowledge,Geography|Countries & Capitals,
3134,Geography,Countries & Capitals,To which country do the Coral Sea Islands belong?,Australia,Specialized Knowledge,Geography|Countries & Capitals,
3135,Geography,Countries & Capitals,"Which country is bounded by the Indian Ocean,  the Coral Sea,  and the Tasman Sea?",Australia,Moderate Knowledge,Geography|Countries & Capitals,
3136,Geography,Countries & Capitals,What country has 61 as its international dialing code?,Australia,Specialized Knowledge,Geography|Countries & Capitals,
3171,Geography,Countries & Capitals,In what European country are the villages Vomitville and Fucking?,Austria,Specialized Knowledge,Geography|Countries & Capitals,
3172,Geography,Countries & Capitals,In which country is Innsbruck located?,Austria,Moderate Knowledge,Geography|Countries & Capitals,
3173,Geography,Countries & Capitals,In which country is the schilling the unit of currency?,Austria,Moderate Knowledge,Geography|Countries & Capitals,
3174,Geography,Countries & Capitals,What country celebrates its National Day on October 26th,Austria,Specialized Knowledge,Geography|Countries & Capitals,
3181,Geography,Countries & Capitals,What two countries do Tyroleans come from?,Austria and Italy,Specialized Knowledge,Geography|Countries & Capitals,
3249,Geography,Countries & Capitals,Worldwide most capital cities begin with which letter?,B,Moderate Knowledge,Geography|Countries & Capitals,
3390,Geography,Countries & Capitals,What country consists of 700 islands?,Bahamas,Moderate Knowledge,Geography|Countries & Capitals,
3391,Geography,Countries & Capitals,What country consists of about 700 islands between Florida and Haiti?,Bahamas,Moderate Knowledge,Geography|Countries & Capitals,
3419,Geography,Countries & Capitals,What is the basic unit of currency for Panama?,Balboa,Specialized Knowledge,Geography|Countries & Capitals,
3424,Geography,Countries & Capitals,What is the national bird of the USA,Bald headed eagle,Common Knowledge,Geography|Countries & Capitals,
3432,Geography,Countries & Capitals,On which Far Eastern island did Mick Jagger marry Jerry Hall?,Bali,Specialized Knowledge,Geography|Countries & Capitals,
3514,Geography,Countries & Capitals,As what is East Pakistan now known?,Bangladesh,Moderate Knowledge,Geography|Countries & Capitals,
3515,Geography,Countries & Capitals,East Pakistan is the former name of which modern republic?,Bangladesh,Moderate Knowledge,Geography|Countries & Capitals,
3516,Geography,Countries & Capitals,Formerly known as East Pakistan what is this country now called?,Bangladesh,Common Knowledge,Geography|Countries & Capitals,
3517,Geography,Countries & Capitals,In which country is the port of Chittagong located?,Bangladesh,Moderate Knowledge,Geography|Countries & Capitals,
3518,Geography,Countries & Capitals,The port of Chittagong is in which country?,Bangladesh,Moderate Knowledge,Geography|Countries & Capitals,
3519,Geography,Countries & Capitals,Where will children as young as 15 be jailed for cheating on their finals,Bangladesh,Specialized Knowledge,Geography|Countries & Capitals,
3549,Geography,Countries & Capitals,Which island gets its name from the Portuguese for bearded,Barbados,Specialized Knowledge,Geography|Countries & Capitals,
3871,Geography,Countries & Capitals,What is the nickname for Oregon?,Beaver State,Moderate Knowledge,Geography|Countries & Capitals,
3877,Geography,Countries & Capitals,What was the former name of Botswana?,Bechuanaland,Specialized Knowledge,Geography|Countries & Capitals,
3975,Geography,Countries & Capitals,The artist Marc Chagall was born in what modern-day country,Belarus,Specialized Knowledge,Geography|Countries & Capitals,
3982,Geography,Countries & Capitals,What was the former name of the Democratic Republic of Congo,Belgian Congo,Specialized Knowledge,Geography|Countries & Capitals,
3987,Geography,Countries & Capitals,Duffel bags were made in Duffel in what country?,Belgium,Specialized Knowledge,Geography|Countries & Capitals,
3988,Geography,Countries & Capitals,In what country is the city of Liege located,Belgium,Moderate Knowledge,Geography|Countries & Capitals,
3989,Geography,Countries & Capitals,In what country is the Waterloo battlefield,Belgium,Moderate Knowledge,Geography|Countries & Capitals,
3990,Geography,Countries & Capitals,In what European country have most land battles been fought,Belgium,Specialized Knowledge,Geography|Countries & Capitals,
3991,Geography,Countries & Capitals,In which country might you encounter Walloons?,Belgium,Specialized Knowledge,Geography|Countries & Capitals,
3992,Geography,Countries & Capitals,In which European country would you find the town of Eupen,Belgium,Specialized Knowledge,Geography|Countries & Capitals,
3993,Geography,Countries & Capitals,What country celebrates its National Day on July 21st?,Belgium,Specialized Knowledge,Geography|Countries & Capitals,
3994,Geography,Countries & Capitals,What country lies north of France and south of Holland,Belgium,Common Knowledge,Geography|Countries & Capitals,
3995,Geography,Countries & Capitals,What is the only country that has never imposed censorship for adult films?,Belgium,Specialized Knowledge,Geography|Countries & Capitals,
3996,Geography,Countries & Capitals,Which country was known as 'the Cockpit of Europe'?,Belgium,Specialized Knowledge,Geography|Countries & Capitals,
4004,Geography,Countries & Capitals,Which countries collectively are known as Benelux?,"Belgium, Netherlands, Luxembourg",Moderate Knowledge,Geography|Countries & Capitals,
4009,Geography,Countries & Capitals,What did British Honduras change its name to in 1973,Belize,Moderate Knowledge,Geography|Countries & Capitals,
4010,Geography,Countries & Capitals,Which Central American country does not border the Pacific Ocean,Belize,Moderate Knowledge,Geography|Countries & Capitals,
4011,Geography,Countries & Capitals,Which Central American country extends furthest north?,Belize,Specialized Knowledge,Geography|Countries & Capitals,
4056,Geography,Countries & Capitals,The countries of Belgium Netherlands and Luxembourg are together called what,Benelux,Moderate Knowledge,Geography|Countries & Capitals,
4117,Geography,Countries & Capitals,In what English county is Broadmoor located,Berkshire,Specialized Knowledge,Geography|Countries & Capitals,
4129,Geography,Countries & Capitals,The Somers Islands has what more familiar name?,Bermuda,Moderate Knowledge,Geography|Countries & Capitals,
4130,Geography,Countries & Capitals,What holiday islands have no rivers or lakes - rain water only,Bermuda,Specialized Knowledge,Geography|Countries & Capitals,
4142,Geography,Countries & Capitals,What European capital stands on the river Aare?,Berne,Specialized Knowledge,Geography|Countries & Capitals,
4202,Geography,Countries & Capitals,The locals call it Druk Yul - Land of the Dragon - what country?,Bhutan,Specialized Knowledge,Geography|Countries & Capitals,
4234,Geography,Countries & Capitals,Canada is derived from an indigenous word meaning what,Big Village,Moderate Knowledge,Geography|Countries & Capitals,
4373,Geography,Countries & Capitals,"Dominica, Mexico, Zambia, Kiribati, Fiji and Egypt all have what on their flags?",Birds,Specialized Knowledge,Geography|Countries & Capitals,
4413,Geography,Countries & Capitals,What is the capital of North Dakota?,Bismarck,Moderate Knowledge,Geography|Countries & Capitals,
4491,Geography,Countries & Capitals,What three colors are featured on the Australian Aboriginal flag?,Black Red Yellow,Moderate Knowledge,Geography|Countries & Capitals,
4610,Geography,Countries & Capitals,What colour is the leftmost stripe on the French flag,Blue,Common Knowledge,Geography|Countries & Capitals,
4652,Geography,Countries & Capitals,What is the state bird of New York?,Bluebird,Moderate Knowledge,Geography|Countries & Capitals,
4653,Geography,Countries & Capitals,What is the nickname for Kentucky?,Bluegrass State,Moderate Knowledge,Geography|Countries & Capitals,
4764,Geography,Countries & Capitals,What is the capital of Idaho?,Boise,Moderate Knowledge,Geography|Countries & Capitals,
4767,Geography,Countries & Capitals,What is the currency of Venezuela?,Bolivar,Specialized Knowledge,Geography|Countries & Capitals,
4900,Geography,Countries & Capitals,What is the capital of Massachusetts?,Boston,Common Knowledge,Geography|Countries & Capitals,
4921,Geography,Countries & Capitals,In what country is the currency called the Pula?,Botswana,Specialized Knowledge,Geography|Countries & Capitals,
5062,Geography,Countries & Capitals,Which German federal state surrounds the city of Berlin,Brandenburg,Specialized Knowledge,Geography|Countries & Capitals,
5096,Geography,Countries & Capitals,Which country grows the most sugar?,Brazil,Moderate Knowledge,Geography|Countries & Capitals,
5097,Geography,Countries & Capitals,What is the fifth largest country in the world by area?,Brazil,Moderate Knowledge,Geography|Countries & Capitals,
5098,Geography,Countries & Capitals,What is the fifth largest country in the world?,Brazil,Moderate Knowledge,Geography|Countries & Capitals,
5099,Geography,Countries & Capitals,What is the largest South American country by area?,Brazil,Common Knowledge,Geography|Countries & Capitals,
5100,Geography,Countries & Capitals,Where can you buy a cup of coffee with cruzeiros?,Brazil,Specialized Knowledge,Geography|Countries & Capitals,
5101,Geography,Countries & Capitals,Which country is the world's biggest coffee exporter?,Brazil,Common Knowledge,Geography|Countries & Capitals,
5102,Geography,Countries & Capitals,Which country uses the international aircraft registration letters PP or PT?,Brazil,Moderate Knowledge,Geography|Countries & Capitals,
5103,Geography,Countries & Capitals,Which country's name comes from the wood its first major export,Brazil,Moderate Knowledge,Geography|Countries & Capitals,
5112,Geography,Countries & Capitals,Name two of the three South American countries through which the equator passes?,Brazil Ecuador Colombia,Moderate Knowledge,Geography|Countries & Capitals,
5378,Geography,Countries & Capitals,In which English county is Chequers located?,Buckinghamshire,Moderate Knowledge,Geography|Countries & Capitals,
5473,Geography,Countries & Capitals,What is the German parliament called?,Bundestag,Moderate Knowledge,Geography|Countries & Capitals,
5483,Geography,Countries & Capitals,In what country is Mandalay,Burma,Moderate Knowledge,Geography|Countries & Capitals,
5484,Geography,Countries & Capitals,Myanmar was known by what name until 1989,Burma,Moderate Knowledge,Geography|Countries & Capitals,
5485,Geography,Countries & Capitals,Where is the setting for The Bridge on the River Kwai?,Burma,Moderate Knowledge,Geography|Countries & Capitals,
5487,Geography,Countries & Capitals,Which country is the worlds main supplier of teak,Burma Myanmar,Moderate Knowledge,Geography|Countries & Capitals,
5682,Geography,Countries & Capitals,Which US state receives the most overseas visitors?,California,Moderate Knowledge,Geography|Countries & Capitals,
5683,Geography,Countries & Capitals,Eureka is the state motto of what US state?,California,Moderate Knowledge,Geography|Countries & Capitals,
5684,Geography,Countries & Capitals,What US state is known as the Golden State?,California,Common Knowledge,Geography|Countries & Capitals,
5685,Geography,Countries & Capitals,What US state is 'The Golden State'?,California,Common Knowledge,Geography|Countries & Capitals,
5686,Geography,Countries & Capitals,What was 1990s most populous US state?,California,Common Knowledge,Geography|Countries & Capitals,
5687,Geography,Countries & Capitals,"Which American state's name is Spanish for ""warm"" or ""warm land""?",California,Moderate Knowledge,Geography|Countries & Capitals,
5688,Geography,Countries & Capitals,Which US state had the largest population increase between 1847 and 1860,California,Specialized Knowledge,Geography|Countries & Capitals,
5689,Geography,Countries & Capitals,Which US state is known as the Golden State,California,Common Knowledge,Geography|Countries & Capitals,
5694,Geography,Countries & Capitals,Which US state has the highest population?,California,Common Knowledge,Geography|Countries & Capitals,
5730,Geography,Countries & Capitals,In which country do the Khmer people live?,Cambodia,Moderate Knowledge,Geography|Countries & Capitals,
5731,Geography,Countries & Capitals,In which country would you find Angkor Wat?,Cambodia,Common Knowledge,Geography|Countries & Capitals,
5783,Geography,Countries & Capitals,In what country would you find New Brunswick,Canada,Moderate Knowledge,Geography|Countries & Capitals,
5784,Geography,Countries & Capitals,In which country is Gander airport?,Canada,Moderate Knowledge,Geography|Countries & Capitals,
5785,Geography,Countries & Capitals,What country is directly north of the continental United States,Canada,Common Knowledge,Geography|Countries & Capitals,
5786,Geography,Countries & Capitals,What country's currency note pictures 6 eskimos 2 kayaks and 2 harpoons,Canada,Specialized Knowledge,Geography|Countries & Capitals,
5787,Geography,Countries & Capitals,What is the second largest country in the world?,Canada,Common Knowledge,Geography|Countries & Capitals,
